Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BT1","Battery_Cell","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",92.550000,-85.500000,-90.000000,top
"C1","100nF","C_0603_1608Metric",91.250000,-117.000000,90.000000,top
"C2","100nF","C_0603_1608Metric",89.500000,-117.000000,90.000000,top
"C3","100nF","C_0603_1608Metric",98.250000,-117.000000,90.000000,top
"C4","100nF","C_0603_1608Metric",96.500000,-117.000000,90.000000,top
"C5","100nF","C_0603_1608Metric",85.000000,-142.250000,-90.000000,top
"C6","1µF","C_0603_1608Metric",95.750000,-98.075000,0.000000,top
"C7","1µF","C_0603_1608Metric",93.840000,-92.325000,-90.000000,top
"C8","10µF","C_0603_1608Metric",82.000000,-126.250000,-90.000000,top
"C9","10nF","C_0603_1608Metric",79.500000,-121.750000,180.000000,top
"C10","100nF","C_0603_1608Metric",84.500000,-126.250000,-90.000000,top
"C11","100nF","C_0603_1608Metric",59.250000,-118.750000,0.000000,top
"C12","100µF","CP_Radial_D10.0mm_P5.00mm",108.000000,-133.617677,90.000000,top
"C13","1µF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",109.500000,-124.000000,180.000000,top
"C14","220µF","CP_Radial_D10.0mm_P5.00mm",125.000000,-144.250000,180.000000,top
"C15","1µF","C_Rect_L18.0mm_W8.0mm_P15.00mm_FKS3_FKP3",144.500000,-147.750000,90.000000,top
"C16","100nF","C_0603_1608Metric",91.000000,-132.500000,90.000000,top
"C17","100n","C_0603_1608Metric",59.500000,-133.750000,0.000000,top
"C18","1µF","C_0603_1608Metric",70.500000,-119.000000,180.000000,top
"C19","10µF","C_0603_1608Metric",86.750000,-142.250000,-90.000000,top
"C20","1µF","C_0603_1608Metric",86.500000,-138.500000,90.000000,top
"D1","MBRS1100T3","D_SMB_Handsoldering",121.000000,-136.500000,180.000000,top
"D2","GRN","LED_0805_2012Metric",77.500000,-82.500000,180.000000,top
"D3","YEL","LED_0805_2012Metric",81.500000,-82.500000,180.000000,top
"D4","5.1V","D_SOD-123",102.500000,-81.000000,0.000000,top
"ES1","Erdschalter","CONN_01x04_vertical_mod",112.500000,-112.500000,0.000000,top
"GS1","Gabelschalter","Gabelschalter",138.500000,-89.000000,0.000000,top
"J1","Hörer","CONN_01x04_vertical_mod",64.750000,-85.375000,0.000000,top
"J2","Vin","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",86.800000,-85.500000,-90.000000,top
"J3","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",52.137500,-138.800000,180.000000,top
"L1","~","CONN_01x02_vertical_mod",158.500000,-116.000000,-132.800000,top
"L2","L","L_Radial_D12.5mm_P7.00mm_Fastron_09HCP",107.000000,-143.000000,0.000000,top
"NS1","~","CONN_01x04_vertical_mod",88.250000,-107.875000,0.000000,top
"Q1","AO3400A","SOT-23",100.750000,-135.250000,0.000000,top
"Q2","2N5551","TO-92_HandSolder",131.250000,-136.250000,90.000000,top
"Q3","2N5551","TO-92_HandSolder",131.250000,-148.000000,90.000000,top
"Q4","2N5551","TO-92_HandSolder",136.500000,-130.500000,90.000000,top
"Q5","2N5401","TO-92_HandSolder",136.500000,-136.250000,90.000000,top
"Q6","2N5551","TO-92_HandSolder",136.500000,-142.250000,90.000000,top
"Q7","2N5401","TO-92_HandSolder",136.500000,-148.000000,90.000000,top
"Q8","AO3401A","SOT-23",100.750000,-142.250000,-90.000000,top
"Q9","BC857BS","SOT-363_SC-70-6",77.331250,-99.075000,90.000000,top
"Q10","AO3401A","SOT-23",70.500000,-123.437500,-90.000000,top
"Q11","AO3400A","SOT-23",74.000000,-125.187500,90.000000,top
"Q12","AO3401A","SOT-23",82.081250,-99.275000,90.000000,top
"Q13","BC857BS","SOT-363_SC-70-6",78.500000,-91.550000,90.000000,top
"Q14","AO3401A","SOT-23",81.750000,-91.550000,90.000000,top
"Q15","AO3400A","SOT-23",115.750000,-106.250000,90.000000,top
"R1","100","R_0603_1608Metric",87.750000,-117.000000,90.000000,top
"R2","100","R_0603_1608Metric",93.000000,-117.000000,90.000000,top
"R3","100","R_0603_1608Metric",100.000000,-117.000000,90.000000,top
"R4","100","R_0603_1608Metric",94.750000,-117.000000,90.000000,top
"R5","10k","R_0603_1608Metric",84.000000,-132.500000,-90.000000,top
"R6","10k","R_0603_1608Metric",85.750000,-132.500000,-90.000000,top
"R7","10k","R_0603_1608Metric",87.500000,-132.500000,-90.000000,top
"R8","1k","R_0603_1608Metric",100.750000,-132.500000,0.000000,top
"R9","10k","R_0603_1608Metric",99.750000,-138.750000,-90.000000,top
"R10","1k","R_0603_1608Metric",101.750000,-138.750000,-90.000000,top
"R11","2k2","R_0603_1608Metric",91.250000,-141.000000,180.000000,top
"R12","2k2","R_0603_1608Metric",91.250000,-142.500000,180.000000,top
"R13","47k","R_0603_1608Metric",132.500000,-128.250000,-90.000000,top
"R14","47k","R_0603_1608Metric",132.500000,-140.000000,-90.000000,top
"R15","100","R_0603_1608Metric",89.250000,-132.500000,90.000000,top
"R16","1k","R_0603_1608Metric",112.750000,-124.250000,-90.000000,top
"R17","68k","R_0603_1608Metric",124.750000,-131.250000,-90.000000,top
"R18","1k8","R_0603_1608Metric",124.750000,-128.000000,-90.000000,top
"R19","10k","R_0603_1608Metric",85.000000,-138.500000,-90.000000,top
"R20","12k","R_0603_1608Metric",71.250000,-126.937500,90.000000,top
"R21","10k","R_0603_1608Metric",69.500000,-126.937500,-90.000000,top
"R22","10k","R_0603_1608Metric",70.500000,-120.687500,180.000000,top
